model,layer,pos,var,mode,rank,train_acc,base_acc,base_yes,all,disagree,same_dim_swap,heldout_lex,invented_alg,other_labels(y_heur),all_alpha0.25,all_alpha0.5,all_alpha0.75,other_labels(y_alg)
qwen3-4b-base,8,last,heur,learned,16,0.725,0.6883333333333334,0.23166666666666666,0.516,0.522,0.501,0.515,0.5,,0.51,0.505,0.508,0.504
qwen3-4b-base,8,last,alg,learned,64,0.496875,0.6883333333333334,0.23166666666666666,0.496,0.469,0.466,0.501,0.502,0.511,0.502,0.495,0.496,
qwen3-4b-base,8,last,alg,random,64,,0.6883333333333334,0.23166666666666666,0.501,0.491,0.512,0.502,0.506,0.508,0.499,0.497,0.5,
qwen3-4b-base,8,last,heur,learned,64,0.734375,0.6883333333333334,0.23166666666666666,0.514,0.544,0.515,0.522,0.502,,0.509,0.514,0.51,0.497
qwen3-4b-base,8,last,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.501,0.48,0.49,0.507,0.501,0.511,0.507,0.497,0.502,
qwen3-4b-base,8,last,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.511,0.52,0.513,0.509,0.501,,0.509,0.505,0.509,0.501
qwen3-4b-base,8,u1,alg,learned,1,0.5,0.6883333333333334,0.23166666666666666,0.501,0.506,0.506,0.507,0.501,0.503,0.499,0.503,0.501,
qwen3-4b-base,8,u1,alg,random,1,,0.6883333333333334,0.23166666666666666,0.499,0.504,0.497,0.502,0.494,0.5,0.501,0.498,0.497,
qwen3-4b-base,8,u1,heur,learned,1,0.7125,0.6883333333333334,0.23166666666666666,0.518,0.522,0.517,0.526,0.504,,0.507,0.503,0.512,0.502
qwen3-4b-base,8,u1,alg,probe,3,,0.6883333333333334,0.23166666666666666,0.5,0.502,0.497,0.507,0.503,0.505,0.497,0.502,0.502,
qwen3-4b-base,8,u1,heur,probe,3,,0.6883333333333334,0.23166666666666666,0.505,0.498,0.497,0.513,0.503,,0.499,0.507,0.507,0.5
qwen3-4b-base,8,u1,alg,learned,4,0.503125,0.6883333333333334,0.23166666666666666,0.511,0.504,0.506,0.523,0.503,0.529,0.505,0.502,0.502,
qwen3-4b-base,8,u1,alg,random,4,,0.6883333333333334,0.23166666666666666,0.497,0.476,0.487,0.502,0.5,0.504,0.501,0.502,0.505,
qwen3-4b-base,8,u1,heur,learned,4,0.721875,0.6883333333333334,0.23166666666666666,0.525,0.522,0.546,0.534,0.503,,0.503,0.514,0.52,0.507
qwen3-4b-base,8,u1,alg,learned,16,0.528125,0.6883333333333334,0.23166666666666666,0.565,0.506,0.527,0.571,0.506,0.612,0.506,0.52,0.542,
qwen3-4b-base,8,u1,alg,probe,16,,0.6883333333333334,0.23166666666666666,0.536,0.506,0.512,0.537,0.501,0.567,0.502,0.504,0.52,
qwen3-4b-base,8,u1,alg,random,16,,0.6883333333333334,0.23166666666666666,0.503,0.508,0.503,0.502,0.497,0.501,0.498,0.502,0.5,
qwen3-4b-base,8,u1,heur,learned,16,0.746875,0.6883333333333334,0.23166666666666666,0.604,0.558,0.544,0.586,0.497,,0.511,0.536,0.573,0.553
qwen3-4b-base,8,u1,heur,probe,16,,0.6883333333333334,0.23166666666666666,0.567,0.494,0.522,0.558,0.501,,0.508,0.51,0.533,0.536
qwen3-4b-base,8,u1,alg,learned,64,0.58125,0.6883333333333334,0.23166666666666666,0.597,0.483,0.522,0.594,0.496,0.66,0.509,0.532,0.558,
qwen3-4b-base,8,u1,alg,learned,64,0.596875,0.6883333333333334,0.23166666666666666,0.592,0.41,0.518,0.616,0.497,0.694,0.503,0.524,0.566,
qwen3-4b-base,8,u1,alg,random,64,,0.6883333333333334,0.23166666666666666,0.498,0.489,0.496,0.507,0.503,0.511,0.501,0.501,0.503,
