position,layer,n,tag,random/task/r2_mean,random/task/exact_acc,random/task/mae,random/task/nearest_acc,random/task/r2_axes,random/control/r2_mean,random/control/exact_acc,random/control/mae,random/control/nearest_acc,random/control/r2_axes,random/selectivity_nearest,random/selectivity_r2,cross_lexeme/task/r2_mean,cross_lexeme/task/exact_acc,cross_lexeme/task/mae,cross_lexeme/task/nearest_acc,cross_lexeme/task/r2_axes,cross_lexeme/control/r2_mean,cross_lexeme/control/exact_acc,cross_lexeme/control/mae,cross_lexeme/control/nearest_acc,cross_lexeme/control/r2_axes,cross_lexeme/selectivity_nearest,cross_lexeme/selectivity_r2,lattice_holdout/task/r2_mean,lattice_holdout/task/exact_acc,lattice_holdout/task/mae,lattice_holdout/task/nearest_acc,lattice_holdout/task/r2_axes,lattice_holdout/control/r2_mean,lattice_holdout/control/exact_acc,lattice_holdout/control/mae,lattice_holdout/control/nearest_acc,lattice_holdout/control/r2_axes,lattice_holdout/selectivity_nearest,lattice_holdout/selectivity_r2
value,0,3867,main_s0,-0.0008054605505631122,0.07881136950904392,1.0966524660818338,0.07881136950904392,"[0.005017598620176367, -0.006728336327349815, -0.000705643944515888]",-0.001956489931883798,0.00904392764857881,1.2382273487265412,0.00904392764857881,"[-0.0020601383320395517, -0.0009989155342067235, -0.002810415929405119]",0.06976744186046512,0.001151029381320686,-0.005669076208703642,0.08844065166795965,1.0929550451210717,0.08844065166795965,"[-0.005401408713579192, -0.006045736166655935, -0.005560083745875799]",-0.014452152112267727,0.0072407551073183345,1.2582705720143874,0.0072407551073183345,"[-0.007672951652703652, -0.0144025095793745, -0.02128099510472503]",0.08119989656064132,0.008783075903564086,-0.022570836321157934,0.10058823529411764,1.191458646475027,0.10058823529411764,"[-0.028354462470719488, -0.024151428307219724, -0.015206618185534593]",-0.013257002186116843,0.00823529411764706,1.260394184228179,0.00823529411764706,"[-0.008695199990641722, -0.015165248253234953, -0.015910558314473855]",0.09235294117647058,-0.009313834135041091
value,2,3867,main_s0,-0.1961769542481097,0.03617571059431524,1.1904355374218625,0.03617571059431524,"[-0.19721597586224426, -0.19704676999292148, -0.19426811688916334]",-0.17414855381391972,0.014211886304909561,1.3166803362507382,0.014211886304909561,"[-0.15824588419860985, -0.15277002161065245, -0.21142975563249689]",0.02196382428940568,-0.022028400434189965,-0.2149154288224596,0.03180760279286268,1.2097627032404008,0.03180760279286268,"[-0.21126567816865238, -0.19135529417250297, -0.2421253141262234]",-0.23296814314871864,0.01060253426428756,1.3668879256217075,0.01060253426428756,"[-0.21475438923136814, -0.232329779357886, -0.2518202608569018]",0.02120506852857512,0.018052714326259045,-0.20273205803153171,0.01588235294117647,1.2934808430314868,0.01588235294117647,"[-0.21131568935272638, -0.19609377689717977, -0.200786707844689]",-0.17801512543470768,0.012941176470588235,1.3403846914556754,0.013823529411764707,"[-0.17878304575250725, -0.18855699072622834, -0.1667053398253875]",0.0020588235294117622,-0.02471693259682403
value,4,3867,main_s0,-0.2816253546064253,0.021963824289405683,1.2350471701848416,0.021963824289405683,"[-0.3010111496152428, -0.27067426710125186, -0.2731906471027812]",-0.26465240597187106,0.011627906976744186,1.3622889083831808,0.014211886304909561,"[-0.2473458954382921, -0.2398267669711618, -0.30678455550615924]",0.007751937984496122,-0.01697294863455423,-0.34299707327677514,0.022756658908714766,1.2651341755876622,0.022756658908714766,"[-0.37081980004739723, -0.32756377217262855, -0.3306076476102997]",-0.3326766153690275,0.0067235583139384535,1.4047695317754145,0.0067235583139384535,"[-0.3389261511574322, -0.32362566196005993, -0.33547803298959034]",0.016033100594776313,-0.01032045790774766,-0.29782091108383796,0.011176470588235295,1.3323552656164575,0.011470588235294118,"[-0.3174538618981695, -0.30778517280065376, -0.2682236985526907]",-0.32602374747865914,0.007058823529411765,1.39862475340072,0.007352941176470588,"[-0.37494097198460374, -0.3313448198958042, -0.27178545055556946]",0.00411764705882353,0.028202836394821185
value,6,3867,main_s0,-0.3419492646728077,0.016795865633074936,1.2579559374161058,0.016795865633074936,"[-0.34182610962671967, -0.31938990651997745, -0.36463177787172585]",-0.35615676896649934,0.00904392764857881,1.3934930070984426,0.0103359173126615,"[-0.3960894733846836, -0.3182494767141031, -0.3541313568007114]",0.006459948320413437,0.014207504293691664,-0.401787928481546,0.017843289371605897,1.2911854033080548,0.017843289371605897,"[-0.35895679761985066, -0.3860191761580527, -0.4603878116667346]",-0.47635069577656863,0.0062063615205585725,1.4689274818382232,0.0062063615205585725,"[-0.45471051032872545, -0.5120492636556164, -0.462292313345364]",0.011636927851047325,0.07456276729502265,-0.3329248979313435,0.012647058823529412,1.347158639006061,0.012941176470588235,"[-0.315978969504213, -0.3420508044071493, -0.3407449198826682]",-0.3943123279385114,0.006470588235294118,1.4340235630223783,0.007058823529411765,"[-0.4074582310248902, -0.4221761642253896, -0.3533025885652543]",0.0058823529411764705,0.0613874300071679
value,8,3867,main_s0,-0.6966453224034742,0.012919896640826873,1.409930755624116,0.012919896640826873,"[-0.7459476986673037, -0.6054894167536484, -0.7384988517894704]",-0.678783171265198,0.003875968992248062,1.5262495251605086,0.00516795865633075,"[-0.7424797543170869, -0.5987895213826282, -0.6950802380958789]",0.007751937984496123,-0.01786215113827616,-0.752457424245291,0.01034393586759762,1.4308923344380633,0.01034393586759762,"[-0.8458373781906348, -0.6910429749257236, -0.720491919619515]",-0.7895280164808819,0.005947763123868632,1.583850403053554,0.0072407551073183345,"[-0.8177533527216223, -0.7183816186269709, -0.8324490780940526]",0.0031031807602792862,0.03707059223559084,-0.5999277355208262,0.00823529411764706,1.4572636582892315,0.008823529411764706,"[-0.6572830970043115, -0.5439448184749358, -0.5985552910832315]",-0.692011428659255,0.003823529411764706,1.546293689174322,0.004705882352941176,"[-0.6911244251196524, -0.5976207234877022, -0.7872891373704105]",0.00411764705882353,0.09208369313842879
value,10,3867,main_s0,-1.5187911680842356,0.00516795865633075,1.6664140358355464,0.006459948320413436,"[-1.3091713911505263, -1.600803345473766, -1.6463987676284146]",-1.4928390388710586,0.011627906976744186,1.8080763097781878,0.016795865633074936,"[-1.3478060135901275, -1.85237647368713, -1.2783346293359186]",-0.010335917312661501,-0.025952129213177022,-1.588796086122941,0.005947763123868632,1.6976915067788312,0.007757951900698216,"[-1.6014292434718458, -1.5379063974382174, -1.62705261745876]",-1.4911295570941778,0.004137574347039048,1.8319593701641996,0.0074993535040082755,"[-1.5526964394909095, -1.547013316193138, -1.3736789155984859]",0.0002585983966899401,-0.09766652902876327,-1.3842781341384829,0.006176470588235294,1.7181224162113287,0.007058823529411765,"[-1.451512103410558, -1.327051431774219, -1.3742708672306714]",-1.2874907757731393,0.006176470588235294,1.7646561015055826,0.00823529411764706,"[-1.283359395275716, -1.424554822570527, -1.1545581094731747]",-0.0011764705882352944,-0.09678735836534358
value,12,3867,main_s0,-1.7779794860086024,0.007751937984496124,1.743283682408952,0.0103359173126615,"[-1.7143196276332495, -1.5815145759026148, -2.0381042544899435]",-1.706494798234295,0.002583979328165375,1.8777919787493222,0.006459948320413436,"[-1.5296735331846971, -1.8518935256501772, -1.7379173358680116]",0.003875968992248063,-0.07148468777430739,-1.7239017335421287,0.0074993535040082755,1.7421789181860816,0.008533747090768037,"[-1.5994238607006777, -1.8488992613681314, -1.7233820785575764]",-1.7138002659544316,0.004396172743728989,1.8843247501642628,0.008275148694078097,"[-1.7157596320625186, -1.7798861235310564, -1.64575504226972]",0.0002585983966899401,-0.010101467587697144,-1.4198266323670872,0.006176470588235294,1.735592269918644,0.008823529411764706,"[-1.3211301640898374, -1.4799497356997016, -1.458399997311722]",-1.4697615693052564,0.007352941176470588,1.818536822649413,0.010294117647058823,"[-1.3484140567245393, -1.609359151783372, -1.4515114994078577]",-0.0014705882352941176,0.049934936938169194
value,14,3867,main_s0,-1.5558542763019128,0.00516795865633075,1.6799791451707213,0.00516795865633075,"[-1.4984110894614457, -1.5559509601214714, -1.613200779322821]",-1.6549072606549518,0.003875968992248062,1.8520846643118536,0.00516795865633075,"[-1.8948047130237762, -1.4515020267697945, -1.6184150421712848]",0.0,0.099052984353039,-1.7881571832158583,0.008792345487457979,1.7234825483010243,0.010861132660977503,"[-1.7935918121663672, -1.7920286203022675, -1.7788511171789398]",-1.6333281491943559,0.005689164727178691,1.8609959292410985,0.008016550297388157,"[-1.7348239088482194, -1.5351480118138165, -1.630012526921032]",0.002844582363589346,-0.1548290340215024,-1.4604998577947785,0.00411764705882353,1.7272578262261973,0.007352941176470588,"[-1.4342874598555286, -1.5878572610204662, -1.359354852508341]",-1.5054202118456645,0.00411764705882353,1.8229741564935402,0.005,"[-1.6567173477323371, -1.4084687507933888, -1.4510745370112677]",0.002352941176470588,0.04492035405088601
value,16,3867,main_s0,-1.4641452277202733,0.007751937984496124,1.663298398442406,0.00904392764857881,"[-1.6707225087908744, -1.0963881510142395, -1.6253250233557064]",-1.7315150674493296,0.003875968992248062,1.855364097674553,0.00516795865633075,"[-1.6394013535575183, -1.6644259271047837, -1.8907179216856873]",0.003875968992248061,0.26736983972905626,-1.6997058017571967,0.006464959917248513,1.7003628089009262,0.008016550297388157,"[-1.8709670281118194, -1.6035533275117175, -1.6245970496480537]",-1.557583367459954,0.005430566330488751,1.828140330124149,0.0074993535040082755,"[-1.4655738333844561, -1.5945467910559237, -1.6126294779394823]",0.000517196793379881,-0.1421224342972427,-1.2989067328522508,0.005294117647058823,1.6880654347138297,0.006470588235294118,"[-1.4125313431891615, -1.2101920468176535, -1.2739968085499371]",-1.4198709635463678,0.006176470588235294,1.7870608186320054,0.008529411764705883,"[-1.4042681369736707, -1.4589821646277077, -1.3963625890377251]",-0.002058823529411765,0.12096423069411699
value,18,3867,main_s0,-1.4760176518207861,0.007751937984496124,1.659636844036191,0.007751937984496124,"[-1.42822307458266, -1.2844685228661592, -1.715361358013539]",-1.6273137188510198,0.007751937984496124,1.8477261820880249,0.011627906976744186,"[-1.6404281007207482, -1.600047924498742, -1.641465131333569]",-0.003875968992248062,0.15129606703023368,-1.5965145119299295,0.0072407551073183345,1.6855775799819668,0.009050943884147919,"[-1.6543760390539557, -1.5397097532173296, -1.5954577435185033]",-1.5652842531560012,0.004137574347039048,1.8306198849731878,0.005689164727178691,"[-1.640208615188942, -1.6592260043659555, -1.3964181399131061]",0.003361779156969227,-0.031230258773928377,-1.310012405030282,0.009411764705882352,1.6825164348150001,0.010294117647058823,"[-1.2625959318297268, -1.305952071996738, -1.3614892112643813]",-1.403230154824976,0.0035294117647058825,1.7837914855964483,0.006470588235294118,"[-1.4433119678051982, -1.4571954423974902, -1.3091830542722391]",0.0038235294117647057,0.093217749794694
