model,variant,condition,correct
qwen3-8b,full,FAM-NAMED,0.68125
qwen3-8b,full,FAM-UNNAMED,0.3895833333333333
qwen3-8b,full,INV-BASE,0.7708333333333334
qwen3-8b,full,INV-BASE-TWIN,0.5416666666666666
qwen3-8b,full,INV-LEX,0.6166666666666667
qwen3-8b,full,INV-LEX-TWIN,0.5895833333333333
qwen3-8b-base,full,FAM-NAMED,0.965625
qwen3-8b-base,full,FAM-UNNAMED,0.8458333333333333
qwen3-8b-base,full,INV-BASE,0.9125
qwen3-8b-base,full,INV-BASE-TWIN,0.928125
qwen3-8b-base,full,INV-LEX,0.9458333333333332
qwen3-8b-base,full,INV-LEX-TWIN,0.9
